Timestamp start: 1747265176814
Timestamp end: 1747266077065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      220.0   167.9    50.7    89.1    99.6   175.3   222.3   253.4   279.0   312.3   361.8   508.9   922.9  1530.7  2845.1 119299.0   119224
read      215.1   190.2    54.7    95.5   107.1   183.0   225.5   251.2   270.7   293.9   324.3   378.0   746.7  2719.7  5526.4 156407.8   156471
read      187.6    80.9    54.7    95.4   106.1   171.5   207.1   229.5   246.3   266.5   291.4   327.7   403.4   669.5  1270.6 164160.0   164013
read      190.4    73.4    46.9    88.5   100.2   190.0   221.6   236.8   248.4   261.7   278.1   303.9   357.0   452.8  1284.4  41948.4    41909
read      180.5    82.5    50.7    85.9    95.6   162.0   203.2   229.3   247.8   268.7   293.4   328.2   395.9   543.4  1638.9 128213.6   128280
read      184.4    95.3    50.7    84.8    94.6   166.7   213.2   238.8   256.3   275.1   298.4   332.3   396.6   510.5  1840.7 107176.0   107066
read      190.5    97.3    46.9    87.8    98.8   189.1   222.2   237.8   249.5   263.2   280.2   307.5   364.6   486.5  3475.7  46116.0    46119
read      154.9    66.9    54.7    86.3    98.8   151.9   169.8   179.8   186.6   196.1   208.2   228.7   274.0   623.8  3349.5  10185.4    10227
read      159.2    50.0    54.7    87.3   100.9   157.3   175.4   185.0   192.6   201.2   214.0   233.6   287.9   631.0   892.3  10926.8    10870
read      182.0    86.8    54.7    89.8    99.7   163.8   201.3   226.0   244.3   265.8   291.1   326.0   395.7   606.9  2423.8 146388.4   146664
read      174.5    55.5    50.7    91.1   104.9   173.4   195.5   207.6   216.2   226.5   238.4   260.8   312.7   427.9   692.3  19866.4    19865
read      182.7    82.5    50.7    84.9    94.6   164.8   209.5   235.2   253.5   273.1   296.6   330.5   394.5   517.8  1071.6 113541.2   113409
read      192.9   283.3    50.7    85.0    95.2   181.1   224.9   244.8   258.7   274.4   294.4   323.3   389.7   525.6 22302.2  70654.8    70623
read      193.0   119.2    50.7    87.0    98.1   189.9   226.0   243.7   255.9   270.7   288.8   314.3   368.7   473.2  6804.0  52693.4    52633
read      184.4    89.5    50.7    84.3    94.2   167.0   214.1   239.6   257.1   275.8   298.8   331.7   393.3   492.4  1315.1 104473.0   104630
read      187.6    78.1    46.9    87.9    99.0   187.4   218.6   233.5   245.0   257.9   274.1   298.8   352.4   440.4   714.3  42249.2    42594
read      185.2    84.8    50.7    83.8    93.7   169.9   217.3   241.5   257.8   275.7   297.3   329.4   390.5   491.6  1351.7  95361.4    95196
read      191.6    85.5    46.9    87.0    97.8   189.3   225.2   242.5   254.6   269.2   287.1   313.0   367.8   486.4  3391.9  52292.8    52243
read      188.9    86.1    46.9    89.5   101.6   188.6   217.6   232.0   242.5   254.3   270.1   293.3   344.3   499.6  3834.0  37031.6    37031
